直播室108,rtp://239.111.205.43:5140
直播室109,rtp://239.109.205.220:9718
直播室109,rtp://239.111.205.44:5140
直播室110,rtp://239.109.205.221:9722
直播室110,rtp://239.111.205.45:5140
直播室111,rtp://239.109.205.222:9726
直播室111,rtp://239.111.205.46:5140
直播室201,rtp://239.109.205.108:8800
直播室201,rtp://239.111.205.199:5140
直播室202,rtp://239.109.205.109:8808
直播室202,rtp://239.111.205.200:5140
直播室203,rtp://239.109.205.110:8816
直播室203,rtp://239.111.205.201:5140
直播室204,rtp://239.109.205.111:8824
直播室204,rtp://239.111.205.202:5140
直播室205,rtp://239.109.205.112:8832
直播室205,rtp://239.111.205.203:5140
直播室206,rtp://239.109.205.113:8840
直播室206,rtp://239.111.205.204:5140
直播室207,rtp://239.109.205.114:8848
直播室207,rtp://239.111.205.205:5140
直播室208,rtp://239.109.205.223:9730
直播室208,rtp://239.111.205.47:5140
直播室209,rtp://239.109.205.224:9734
直播室209,rtp://239.111.205.48:5140
直播室210,rtp://239.109.205.225:9738
直播室210,rtp://239.111.205.49:5140
直播室211,rtp://239.109.205.226:9742
直播室211,rtp://239.111.205.50:5140
中视购物[768*576],rtp://239.111.205.96:5140
紫阳,rtp://239.112.205.220:5140
紫阳,rtp://239.109.205.74:8528
足球,rtp://239.110.205.25:9846
曲艺大观,rtp://239.111.205.31:5140
陕西新闻资讯,rtp://239.111.205.28:5140
陕西都市青春,rtp://239.111.205.42:5140
陕西体育休闲,rtp://239.111.205.36:5140
陕西农林卫视,rtp://239.112.205.26:5140
陕西西部电影,rtp://239.111.205.41:5140
陕西秦腔频道,rtp://239.112.205.22:5140
陕西银铃频道,rtp://239.112.205.20:5140
西安新闻综合,rtp://239.111.205.242:5140
西安都市频道,rtp://239.111.205.243:5140
西安商务资讯,rtp://239.112.205.174:5140
西安戏剧影视,rtp://239.112.205.175:5140
西安丝路频道,rtp://239.112.205.176:5140
西安教育频道,rtp://239.112.205.142:5140
西安乐购购物,rtp://239.111.205.30:5140
BesTV体育,rtp://239.111.205.23:5140


